Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1986","1986","ha","1095000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1986","1986","100 g/ha","113132","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1986","1986","t","12388000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1987","1987","ha","1288000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1987","1987","100 g/ha","107733","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1987","1987","t","13876000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1988","1988","ha","1347000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1988","1988","100 g/ha","114618","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1988","1988","t","15439000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1989","1989","ha","1639778","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1989","1989","100 g/ha","106136","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1989","1989","t","17404000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1990","1990","ha","1634130","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1990","1990","100 g/ha","116533","E","Estimated value"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1990","1990","t","19043008","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1991","1991","ha","2551000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1991","1991","100 g/ha","101936","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1991","1991","t","26004000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1992","1992","ha","2755000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1992","1992","100 g/ha","105931","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1992","1992","t","29184000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1993","1993","ha","2844000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1993","1993","100 g/ha","105935","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1993","1993","t","30128000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1994","1994","ha","2927000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1994","1994","100 g/ha","105928","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1994","1994","t","31005000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1995","1995","ha","2944000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1995","1995","100 g/ha","106671","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1995","1995","t","31404000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1996","1996","ha","2946000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1996","1996","100 g/ha","106646","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1996","1996","t","31418000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1997","1997","ha","2697400","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1997","1997","100 g/ha","118818","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1997","1997","t","32050000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1998","1998","ha","3042500","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1998","1998","100 g/ha","107461","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1998","1998","t","32695000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","1999","1999","ha","3406000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","1999","1999","100 g/ha","95998","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","1999","1999","t","32697000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","2000","2000","ha","3300000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","2000","2000","100 g/ha","97000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","2000","2000","t","32010000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","2001","2001","ha","3340000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","2001","2001","100 g/ha","96012","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","2001","2001","t","32068000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5312","Area harvested","125","Cassava, fresh","2002","2002","ha","3446000","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5419","Yield","125","Cassava, fresh","2002","2002","100 g/ha","99013","A","Official figure"
"QCL","Crops and livestock products","159","Nigeria","5510","Production","125","Cassava, fresh","2002","2002","t","34120000","A","Official figure"
