Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2008","2008","kg/ha","2.95","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2009","2009","kg/ha","2.3","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","6.2","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","3.26","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","4.53","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","6.34","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","5.69","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","4.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","6.77","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","10.59","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","10.14","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2019","2019","kg/ha","10.04","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2020","2020","kg/ha","10.04","E","Estimated value",""
"RFN","Fertilizers by Nutrient","159","Nigeria","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","10.04","E","Estimated value",""
